Designator,Mid X,Mid Y,Layer,Rotation
C1,40.51,41.91,Top,0.0
C3,44.45,43.94,Top,180.0
C4,19.18,12.57,Top,180.0
C5,34.16,12.70,Top,180.0
C6,40.51,44.83,Top,0.0
C7,19.43,27.43,Top,90.0
C11,44.32,50.16,Top,180.0
C12,44.58,26.80,Top,90.0
C18,49.40,26.54,Top,90.0
C19,41.40,33.78,Top,270.0
C20,44.58,41.40,Top,180.0
C22, 3.05,38.86,Top,0.0
C23,26.29,48.77,Top,90.0
C26,44.45,47.37,Top,180.0
C29,56.39,15.62,Top,180.0
D1, 1.40,35.18,Top,90.0
D2, 5.08,35.05,Top,270.0
D3, 3.18,35.05,Top,90.0
D4,11.30,24.26,Top,0.0
D5,24.13,19.94,Top,0.0
D9,54.48,26.54,Top,0.0
D10,55.63,20.83,Top,0.0
D11,44.32,16.51,Top,0.0
D12,44.32,21.97,Top,0.0
ESP32,61.34,42.42,Top,270.0
IC2,15.88,19.43,Top,270.0
IC3,30.73,29.59,Top,0.0
IC4,67.06,18.16,Top,0.0
IC5,19.43,49.66,Top,180.0
J2, 3.18,17.78,Top,270.0
LED1,36.32,18.80,Top,270.0
LED2, 8.00,50.04,Top,180.0
Q1,30.35,43.94,Top,0.0
Q2,25.40,44.07,Top,0.0
Q3, 9.27,43.18,Top,0.0
R1,36.45,32.77,Top,90.0
R2,67.82,27.30,Top,0.0
R3,31.62,18.29,Top,270.0
R4,36.07,42.67,Top,0.0
R5,36.20,45.09,Top,180.0
R6,40.26,47.63,Top,0.0
R7,22.86,26.29,Top,90.0
R8,29.08,24.51,Top,180.0
R9,18.67,42.93,Top,180.0
R10,17.53,24.51,Top,0.0
R11,27.81,51.82,Top,180.0
R12,29.34,48.64,Top,270.0
R13,38.23,24.51,Top,90.0
R14,35.18,24.77,Top,90.0
R15,39.24,36.70,Top,0.0
R16, 3.18,44.96,Top,0.0
R18,60.96,26.04,Top,180.0
R19, 3.18,41.91,Top,0.0
R20,14.86,45.59,Top,0.0
R24,60.83,23.75,Top,180.0
R25,60.83,21.46,Top,180.0
R26,66.04,11.68,Top,270.0
R27,67.95,11.68,Top,270.0
S1,19.56, 5.08,Top,180.0
S2,34.54, 5.08,Top,0.0
Y1,46.61,32.64,Top,0.0
